Name;Station;Time;Precipitation;Snow_depth
Overhalla - Unnset;SN72650;2023-01-29;14.1;28
Overhalla - Unnset;SN72650;2023-01-30;19.2;27
Overhalla - Unnset;SN72650;2023-01-31;3.2;30
Overhalla - Unnset;SN72650;2023-02-01;0;30
Overhalla - Unnset;SN72650;2023-02-02;0.9;31
Overhalla - Unnset;SN72650;2023-02-03;7;36
Overhalla - Unnset;SN72650;2023-02-04;1.9;33
Overhalla - Unnset;SN72650;2023-02-05;0;33
Overhalla - Unnset;SN72650;2023-02-06;2.3;32
Overhalla - Unnset;SN72650;2023-02-07;2.4;33
Overhalla - Unnset;SN72650;2023-02-08;1.6;31
Overhalla - Unnset;SN72650;2023-02-09;2.6;30
Overhalla - Unnset;SN72650;2023-02-10;11.5;30
Overhalla - Unnset;SN72650;2023-02-11;0;30
Overhalla - Unnset;SN72650;2023-02-12;16.2;28
Overhalla - Unnset;SN72650;2023-02-13;40.3;27
Overhalla - Unnset;SN72650;2023-02-14;14.8;25
Overhalla - Unnset;SN72650;2023-02-15;0.2;22
Overhalla - Unnset;SN72650;2023-02-16;0;22
Overhalla - Unnset;SN72650;2023-02-17;0;22
Overhalla - Unnset;SN72650;2023-02-18;0;22
Overhalla - Unnset;SN72650;2023-02-19;18;32
Overhalla - Unnset;SN72650;2023-02-20;6.2;33
Overhalla - Unnset;SN72650;2023-02-21;2.1;35
Overhalla - Unnset;SN72650;2023-02-22;0;35
Overhalla - Unnset;SN72650;2023-02-23;1.1;32
Overhalla - Unnset;SN72650;2023-02-24;4.6;35
Overhalla - Unnset;SN72650;2023-02-25;17.6;45
Overhalla - Unnset;SN72650;2023-02-26;5.9;49
Overhalla - Unnset;SN72650;2023-02-27;3.2;42
Overhalla - Unnset;SN72650;2023-02-28;6.2;37
Overhalla - Unnset;SN72650;2023-03-01;1.3;37
Overhalla - Unnset;SN72650;2023-03-02;5.1;35
Overhalla - Unnset;SN72650;2023-03-03;32.2;30
Overhalla - Unnset;SN72650;2023-03-04;4.5;33
Overhalla - Unnset;SN72650;2023-03-05;7.3;36
Overhalla - Unnset;SN72650;2023-03-06;0;36
Overhalla - Unnset;SN72650;2023-03-07;6.2;39
Overhalla - Unnset;SN72650;2023-03-08;0;39
Overhalla - Unnset;SN72650;2023-03-09;0;39
Overhalla - Unnset;SN72650;2023-03-10;6.4;47
Overhalla - Unnset;SN72650;2023-03-11;5.8;55
Overhalla - Unnset;SN72650;2023-03-12;0;55
Overhalla - Unnset;SN72650;2023-03-13;0.1;55
Overhalla - Unnset;SN72650;2023-03-14;3.4;57
Overhalla - Unnset;SN72650;2023-03-15;3.2;61
Overhalla - Unnset;SN72650;2023-03-16;5.5;67
Overhalla - Unnset;SN72650;2023-03-17;0;69
Overhalla - Unnset;SN72650;2023-03-18;0;65
Overhalla - Unnset;SN72650;2023-03-19;0;60
Overhalla - Unnset;SN72650;2023-03-20;7.2;55
Overhalla - Unnset;SN72650;2023-03-21;9.2;52
Overhalla - Unnset;SN72650;2023-03-22;0;52
Overhalla - Unnset;SN72650;2023-03-23;0.9;52
Overhalla - Unnset;SN72650;2023-03-24;2.1;55
Overhalla - Unnset;SN72650;2023-03-25;0;55
Overhalla - Unnset;SN72650;2023-03-26;0;55
Overhalla - Unnset;SN72650;2023-03-27;0;55
Overhalla - Unnset;SN72650;2023-03-28;0;55
Overhalla - Unnset;SN72650;2023-03-29;0;55
Overhalla - Unnset;SN72650;2023-03-30;0;55
Overhalla - Unnset;SN72650;2023-03-31;0;55
Overhalla - Unnset;SN72650;2023-04-01;0;53
Overhalla - Unnset;SN72650;2023-04-02;0;52
Overhalla - Unnset;SN72650;2023-04-03;0;52
Overhalla - Unnset;SN72650;2023-04-04;9.4;46
Overhalla - Unnset;SN72650;2023-04-05;0;42
Overhalla - Unnset;SN72650;2023-04-06;0;37
Overhalla - Unnset;SN72650;2023-04-07;0;35
Overhalla - Unnset;SN72650;2023-04-08;0;31
Overhalla - Unnset;SN72650;2023-04-09;0;27
Overhalla - Unnset;SN72650;2023-04-10;0;23
Overhalla - Unnset;SN72650;2023-04-11;0;18
Overhalla - Unnset;SN72650;2023-04-12;0;14
Overhalla - Unnset;SN72650;2023-04-13;0;13
Overhalla - Unnset;SN72650;2023-04-14;0;11
Overhalla - Unnset;SN72650;2023-04-15;0;8
Overhalla - Unnset;SN72650;2023-04-16;3.6;6
Overhalla - Unnset;SN72650;2023-04-17;0;4
Overhalla - Unnset;SN72650;2023-04-18;0;3
Overhalla - Unnset;SN72650;2023-04-19;0;3
Overhalla - Unnset;SN72650;2023-04-20;0;1
Overhalla - Unnset;SN72650;2023-04-21;0;0
Overhalla - Unnset;SN72650;2023-04-22;0.6;0
Overhalla - Unnset;SN72650;2023-04-23;0;0
Overhalla - Unnset;SN72650;2023-04-24;0.9;0
Overhalla - Unnset;SN72650;2023-04-25;1.1;0
Overhalla - Unnset;SN72650;2023-04-26;0.7;0
Overhalla - Unnset;SN72650;2023-04-27;2.1;0
Overhalla - Unnset;SN72650;2023-04-28;5.7;0
Overhalla - Unnset;SN72650;2023-04-29;0;0
Overhalla - Unnset;SN72650;2023-04-30;16;0
Overhalla - Unnset;SN72650;2023-05-01;4.5;0
Overhalla - Unnset;SN72650;2023-05-02;0;0
Overhalla - Unnset;SN72650;2023-05-03;0;0
Overhalla - Unnset;SN72650;2023-05-04;0.8;0
Overhalla - Unnset;SN72650;2023-05-05;0.8;0
Overhalla - Unnset;SN72650;2023-05-06;0;0
Overhalla - Unnset;SN72650;2023-05-07;0;0
Overhalla - Unnset;SN72650;2023-05-08;0;0
Overhalla - Unnset;SN72650;2023-05-09;0;0
Overhalla - Unnset;SN72650;2023-05-10;0;0
Overhalla - Unnset;SN72650;2023-05-11;0;0
Overhalla - Unnset;SN72650;2023-05-12;0;0
Overhalla - Unnset;SN72650;2023-05-13;0;0
Overhalla - Unnset;SN72650;2023-05-14;0;0
Overhalla - Unnset;SN72650;2023-05-15;0;0
Overhalla - Unnset;SN72650;2023-05-16;0;0
Overhalla - Unnset;SN72650;2023-05-17;1.1;0
Overhalla - Unnset;SN72650;2023-05-18;8.6;0
Overhalla - Unnset;SN72650;2023-05-19;2.3;0
Overhalla - Unnset;SN72650;2023-05-20;3.1;0
Overhalla - Unnset;SN72650;2023-05-21;0;0
Overhalla - Unnset;SN72650;2023-05-22;0;0
Overhalla - Unnset;SN72650;2023-05-23;0.7;0
Overhalla - Unnset;SN72650;2023-05-24;1.6;0
Overhalla - Unnset;SN72650;2023-05-25;8.5;0
Overhalla - Unnset;SN72650;2023-05-26;16.1;0
Overhalla - Unnset;SN72650;2023-05-27;5.4;0
Overhalla - Unnset;SN72650;2023-05-28;5.9;0
Overhalla - Unnset;SN72650;2023-05-29;11.3;0
Overhalla - Unnset;SN72650;2023-05-30;6.5;0
Overhalla - Unnset;SN72650;2023-05-31;14.7;0
Overhalla - Unnset;SN72650;2023-06-01;6.9;0
Overhalla - Unnset;SN72650;2023-06-02;4;0
Overhalla - Unnset;SN72650;2023-06-03;4.8;0
Overhalla - Unnset;SN72650;2023-06-04;3.5;0
Overhalla - Unnset;SN72650;2023-06-05;1.1;0
Overhalla - Unnset;SN72650;2023-06-06;0;0
Overhalla - Unnset;SN72650;2023-06-07;2.5;0
Overhalla - Unnset;SN72650;2023-06-08;5.1;0
Overhalla - Unnset;SN72650;2023-06-09;0;0
Overhalla - Unnset;SN72650;2023-06-10;0;0
Overhalla - Unnset;SN72650;2023-06-11;0;0
Overhalla - Unnset;SN72650;2023-06-12;2;0
Overhalla - Unnset;SN72650;2023-06-13;0.1;0
Overhalla - Unnset;SN72650;2023-06-14;0;0
Overhalla - Unnset;SN72650;2023-06-15;0;0
Overhalla - Unnset;SN72650;2023-06-16;0;0
Overhalla - Unnset;SN72650;2023-06-17;0;0
Overhalla - Unnset;SN72650;2023-06-18;0;0
Overhalla - Unnset;SN72650;2023-06-19;0;0
Overhalla - Unnset;SN72650;2023-06-20;0;0
Overhalla - Unnset;SN72650;2023-06-21;0;0
Overhalla - Unnset;SN72650;2023-06-22;15.2;0
Overhalla - Unnset;SN72650;2023-06-23;4.3;0
Overhalla - Unnset;SN72650;2023-06-24;1.1;0
Overhalla - Unnset;SN72650;2023-06-25;0;0
Overhalla - Unnset;SN72650;2023-06-26;0;0
Overhalla - Unnset;SN72650;2023-06-27;0;0
Overhalla - Unnset;SN72650;2023-06-28;0;0
Overhalla - Unnset;SN72650;2023-06-29;0;0
Overhalla - Unnset;SN72650;2023-06-30;0.7;0
Overhalla - Unnset;SN72650;2023-07-01;8;0
Overhalla - Unnset;SN72650;2023-07-02;2.3;0
Overhalla - Unnset;SN72650;2023-07-03;5.8;0
Overhalla - Unnset;SN72650;2023-07-04;12.7;0
Overhalla - Unnset;SN72650;2023-07-05;0;0
Overhalla - Unnset;SN72650;2023-07-06;0;0
Overhalla - Unnset;SN72650;2023-07-07;1;0
Overhalla - Unnset;SN72650;2023-07-08;0.4;0
Overhalla - Unnset;SN72650;2023-07-09;0;0
Overhalla - Unnset;SN72650;2023-07-10;0;0
Overhalla - Unnset;SN72650;2023-07-11;0;0
Overhalla - Unnset;SN72650;2023-07-12;0.4;0
Overhalla - Unnset;SN72650;2023-07-13;0;0
Overhalla - Unnset;SN72650;2023-07-14;20.1;0
Overhalla - Unnset;SN72650;2023-07-15;9.4;0
Overhalla - Unnset;SN72650;2023-07-16;0;0
Overhalla - Unnset;SN72650;2023-07-17;3.6;0
Overhalla - Unnset;SN72650;2023-07-18;1.1;0
Overhalla - Unnset;SN72650;2023-07-19;0;0
Overhalla - Unnset;SN72650;2023-07-20;0;0
Overhalla - Unnset;SN72650;2023-07-21;0.3;0
Overhalla - Unnset;SN72650;2023-07-22;9.1;0
Overhalla - Unnset;SN72650;2023-07-23;0;0
Overhalla - Unnset;SN72650;2023-07-24;0;0
Overhalla - Unnset;SN72650;2023-07-25;0;0
Overhalla - Unnset;SN72650;2023-07-26;0.7;0
Overhalla - Unnset;SN72650;2023-07-27;0;0
Overhalla - Unnset;SN72650;2023-07-28;0;0
Overhalla - Unnset;SN72650;2023-07-29;0;0
Overhalla - Unnset;SN72650;2023-07-30;0.7;0
Overhalla - Unnset;SN72650;2023-07-31;0;0
Overhalla - Unnset;SN72650;2023-08-01;0.6;0
Overhalla - Unnset;SN72650;2023-08-02;0;0
Overhalla - Unnset;SN72650;2023-08-03;2.9;0
Overhalla - Unnset;SN72650;2023-08-04;0;0
Overhalla - Unnset;SN72650;2023-08-05;0;0
Overhalla - Unnset;SN72650;2023-08-06;0.5;0
Overhalla - Unnset;SN72650;2023-08-07;4.8;0
Overhalla - Unnset;SN72650;2023-08-08;33.9;0
Overhalla - Unnset;SN72650;2023-08-09;4.7;0
Overhalla - Unnset;SN72650;2023-08-10;0;0
Overhalla - Unnset;SN72650;2023-08-11;0.2;0
Overhalla - Unnset;SN72650;2023-08-12;0.7;0
Overhalla - Unnset;SN72650;2023-08-13;4.8;0
Overhalla - Unnset;SN72650;2023-08-14;0;0
Overhalla - Unnset;SN72650;2023-08-15;7.2;0
Overhalla - Unnset;SN72650;2023-08-16;3.8;0
Overhalla - Unnset;SN72650;2023-08-17;1.4;0
Overhalla - Unnset;SN72650;2023-08-18;0;0
Overhalla - Unnset;SN72650;2023-08-19;0.2;0
Overhalla - Unnset;SN72650;2023-08-20;0;0
Overhalla - Unnset;SN72650;2023-08-21;10;0
Overhalla - Unnset;SN72650;2023-08-22;0.2;0
Overhalla - Unnset;SN72650;2023-08-23;0.2;0
Overhalla - Unnset;SN72650;2023-08-24;0;0
Overhalla - Unnset;SN72650;2023-08-25;0;0
Overhalla - Unnset;SN72650;2023-08-26;0;0
Overhalla - Unnset;SN72650;2023-08-27;0;0
Overhalla - Unnset;SN72650;2023-08-28;0;0
Overhalla - Unnset;SN72650;2023-08-29;1.7;0
Overhalla - Unnset;SN72650;2023-08-30;0.3;0
Overhalla - Unnset;SN72650;2023-08-31;0.2;0
Overhalla - Unnset;SN72650;2023-09-01;0;0
Overhalla - Unnset;SN72650;2023-09-02;1.3;0
Overhalla - Unnset;SN72650;2023-09-03;0;0
Overhalla - Unnset;SN72650;2023-09-04;12.2;0
Overhalla - Unnset;SN72650;2023-09-05;15.3;0
Overhalla - Unnset;SN72650;2023-09-06;6.9;0
Overhalla - Unnset;SN72650;2023-09-07;0;0
Overhalla - Unnset;SN72650;2023-09-08;0;0
Overhalla - Unnset;SN72650;2023-09-09;2.7;0
Overhalla - Unnset;SN72650;2023-09-10;6.2;0
Overhalla - Unnset;SN72650;2023-09-11;2.2;0
Overhalla - Unnset;SN72650;2023-09-12;5.8;0
Overhalla - Unnset;SN72650;2023-09-13;6.9;0
Overhalla - Unnset;SN72650;2023-09-14;0.2;0
Overhalla - Unnset;SN72650;2023-09-15;0.2;0
Overhalla - Unnset;SN72650;2023-09-16;2.2;0
Overhalla - Unnset;SN72650;2023-09-17;1.8;0
Overhalla - Unnset;SN72650;2023-09-18;0.2;0
Overhalla - Unnset;SN72650;2023-09-19;0;0
Overhalla - Unnset;SN72650;2023-09-20;18.2;0
Overhalla - Unnset;SN72650;2023-09-21;7.2;0
Overhalla - Unnset;SN72650;2023-09-22;5.2;0
Overhalla - Unnset;SN72650;2023-09-23;0;0
Overhalla - Unnset;SN72650;2023-09-24;0;0
Overhalla - Unnset;SN72650;2023-09-25;0;0
Overhalla - Unnset;SN72650;2023-09-26;37.6;0
Overhalla - Unnset;SN72650;2023-09-27;2.1;0
Overhalla - Unnset;SN72650;2023-09-28;0;0
Overhalla - Unnset;SN72650;2023-09-29;0;0
Overhalla - Unnset;SN72650;2023-09-30;0;0
Overhalla - Unnset;SN72650;2023-10-01;20.5;0
Overhalla - Unnset;SN72650;2023-10-02;0;0
Overhalla - Unnset;SN72650;2023-10-03;5.3;0
Overhalla - Unnset;SN72650;2023-10-04;3.2;0
Overhalla - Unnset;SN72650;2023-10-05;3.5;0
Overhalla - Unnset;SN72650;2023-10-06;4.4;0
Overhalla - Unnset;SN72650;2023-10-07;5.2;0
Overhalla - Unnset;SN72650;2023-10-08;10.2;0
Overhalla - Unnset;SN72650;2023-10-09;18.7;0
Overhalla - Unnset;SN72650;2023-10-10;17.9;0
Overhalla - Unnset;SN72650;2023-10-11;12.8;0
Overhalla - Unnset;SN72650;2023-10-12;6.8;0
Overhalla - Unnset;SN72650;2023-10-13;12.7;0
Overhalla - Unnset;SN72650;2023-10-14;10.4;0
Overhalla - Unnset;SN72650;2023-10-15;12.9;0
Overhalla - Unnset;SN72650;2023-10-16;12.6;0
Overhalla - Unnset;SN72650;2023-10-17;8.3;0
Overhalla - Unnset;SN72650;2023-10-18;9.3;0
Overhalla - Unnset;SN72650;2023-10-19;0;0
